,V1
3195,TC04002313.hg.1  
3196,TC04002326.hg.1  
3197,TC04002345.hg.1  
3198,TC04002346.hg.1  
3199,TC04002355.hg.1  
3200,TC04002365.hg.1  
3201,TC04002387.hg.1  
3202,TC04002391.hg.1  
3203,TC04002410.hg.1  
3204,TC04002419.hg.1  
3205,TC04002428.hg.1  
3206,TC04002437.hg.1  
3207,TC04002444.hg.1  
3208,TC04002446.hg.1  
3209,TC04002449.hg.1  
3210,TC04002451.hg.1  
3211,TC04002452.hg.1  
3212,TC04002454.hg.1  
3213,TC04002456.hg.1  
3214,TC04002471.hg.1  
3215,TC04002474.hg.1  
3216,TC04002481.hg.1  
3217,TC04002488.hg.1  
3218,TC04002490.hg.1  
3219,TC04002492.hg.1  
3220,TC04002517.hg.1  
3221,TC04002592.hg.1  
3222,TC04002599.hg.1  
3223,TC04002600.hg.1  
3224,TC04002602.hg.1  
3225,TC04002609.hg.1  
3226,TC04002612.hg.1  
3227,TC04002614.hg.1  
3228,TC04002625.hg.1  
3229,TC04002644.hg.1  
3230,TC04002650.hg.1  
3231,TC04002654.hg.1  
3232,TC04002660.hg.1  
3233,TC04002673.hg.1  
3234,TC04002676.hg.1  
3235,TC04002724.hg.1  
3236,TC04002730.hg.1  
3237,TC04002751.hg.1  
3238,TC04002771.hg.1  
3239,TC04002772.hg.1  
3240,TC04002781.hg.1  
3241,TC04002783.hg.1  
3242,TC04002788.hg.1  
3243,TC04002789.hg.1  
3244,TC04002791.hg.1  
3245,TC04002792.hg.1  
3246,TC04002813.hg.1  
3247,TC04002843.hg.1  
3248,TC04002851.hg.1  
3249,TC04002867.hg.1  
3250,TC04002884.hg.1  
3251,TC04002890.hg.1  
3252,TC04002898.hg.1  
3253,TC04002907.hg.1  
3254,TC04002911.hg.1  
3255,TC04002920.hg.1  
3256,TC04002921.hg.1  
3257,TC04002924.hg.1  
3258,TC04002930.hg.1  
3259,TC04002936.hg.1  
3260,TC04002943.hg.1  
3261,TC04002944.hg.1  
3262,TC04002945.hg.1  
3263,TC04002946.hg.1  
3264,TC04002952.hg.1  
3265,TC04002953.hg.1  
3266,TC04002955.hg.1  
3267,TC04002958.hg.1  
3268,TC05000002.hg.1  
3269,TC05000004.hg.1  
3270,TC05000010.hg.1  
3271,TC05000021.hg.1  
3272,TC05000038.hg.1  
3273,TC05000061.hg.1  
3274,TC05000066.hg.1  
3275,TC05000072.hg.1  
3276,TC05000074.hg.1  
3277,TC05000083.hg.1  
3278,TC05000084.hg.1  
3279,TC05000093.hg.1  
3280,TC05000096.hg.1  
3281,TC05000108.hg.1  
3282,TC05000115.hg.1  
3283,TC05000116.hg.1  
3284,TC05000136.hg.1  
3285,TC05000144.hg.1  
3286,TC05000151.hg.1  
3287,TC05000154.hg.1  
3288,TC05000155.hg.1  
3289,TC05000161.hg.1  
3290,TC05000168.hg.1  
3291,TC05000186.hg.1  
3292,TC05000189.hg.1  
3293,TC05000195.hg.1  
3294,TC05000197.hg.1  
3295,TC05000200.hg.1  
3296,TC05000202.hg.1  
3297,TC05000206.hg.1  
3298,TC05000208.hg.1  
3299,TC05000209.hg.1  
3300,TC05000219.hg.1  
3301,TC05000232.hg.1  
3302,TC05000234.hg.1  
3303,TC05000262.hg.1  
3304,TC05000278.hg.1  
3305,TC05000286.hg.1  
3306,TC05000287.hg.1  
3307,TC05000296.hg.1  
3308,TC05000298.hg.1  
3309,TC05000299.hg.1  
3310,TC05000303.hg.1  
3311,TC05000304.hg.1  
3312,TC05000309.hg.1  
3313,TC05000310.hg.1  
3314,TC05000316.hg.1  
3315,TC05000317.hg.1  
3316,TC05000321.hg.1  
3317,TC05000325.hg.1  
3318,TC05000326.hg.1  
3319,TC05000333.hg.1  
3320,TC05000334.hg.1  
3321,TC05000336.hg.1  
3322,TC05000338.hg.1  
3323,TC05000343.hg.1  
3324,TC05000345.hg.1  
3325,TC05000351.hg.1  
3326,TC05000353.hg.1  
3327,TC05000354.hg.1  
3328,TC05000355.hg.1  
3329,TC05000357.hg.1  
3330,TC05000363.hg.1  
3331,TC05000371.hg.1  
3332,TC05000372.hg.1  
3333,TC05000389.hg.1  
3334,TC05000421.hg.1  
3335,TC05000423.hg.1  
3336,TC05000427.hg.1  
3337,TC05000461.hg.1  
3338,TC05000469.hg.1  
3339,TC05000470.hg.1  
3340,TC05000487.hg.1  
3341,TC05000493.hg.1  
3342,TC05000497.hg.1  
3343,TC05000498.hg.1  
3344,TC05000515.hg.1  
3345,TC05000525.hg.1  
3346,TC05000526.hg.1  
3347,TC05000535.hg.1  
3348,TC05000540.hg.1  
3349,TC05000541.hg.1  
3350,TC05000544.hg.1  
3351,TC05000551.hg.1  
3352,TC05000557.hg.1  
3353,TC05000563.hg.1  
3354,TC05000567.hg.1  
3355,TC05000573.hg.1  
3356,TC05000575.hg.1  
3357,TC05000580.hg.1  
3358,TC05000601.hg.1  
3359,TC05000602.hg.1  
3360,TC05000604.hg.1  
3361,TC05000615.hg.1  
3362,TC05000617.hg.1  
3363,TC05000628.hg.1  
3364,TC05000633.hg.1  
3365,TC05000635.hg.1  
3366,TC05000636.hg.1  
3367,TC05000654.hg.1  
3368,TC05000655.hg.1  
3369,TC05000662.hg.1  
3370,TC05000682.hg.1  
3371,TC05000697.hg.1  
3372,TC05000699.hg.1  
3373,TC05000701.hg.1  
3374,TC05000702.hg.1  
3375,TC05000711.hg.1  
3376,TC05000713.hg.1  
3377,TC05000726.hg.1  
3378,TC05000729.hg.1  
3379,TC05000743.hg.1  
3380,TC05000744.hg.1  
3381,TC05000745.hg.1  
3382,TC05000746.hg.1  
3383,TC05000747.hg.1  
3384,TC05000749.hg.1  
3385,TC05000750.hg.1  
3386,TC05000751.hg.1  
3387,TC05000752.hg.1  
3388,TC05000753.hg.1  
3389,TC05000754.hg.1  
3390,TC05000755.hg.1  
3391,TC05000756.hg.1  
3392,TC05000757.hg.1  
3393,TC05000761.hg.1  
3394,TC05000763.hg.1  
3395,TC05000764.hg.1  
3396,TC05000765.hg.1  
3397,TC05000766.hg.1  
3398,TC05000767.hg.1  
3399,TC05000768.hg.1  
3400,TC05000769.hg.1  
3401,TC05000775.hg.1  
3402,TC05000776.hg.1  
3403,TC05000799.hg.1  
3404,TC05000816.hg.1  
3405,TC05000818.hg.1  
3406,TC05000819.hg.1  
3407,TC05000823.hg.1  
3408,TC05000824.hg.1  
3409,TC05000825.hg.1  
3410,TC05000830.hg.1  
3411,TC05000831.hg.1  
3412,TC05000833.hg.1  
3413,TC05000834.hg.1  
3414,TC05000837.hg.1  
3415,TC05000839.hg.1  
3416,TC05000852.hg.1  
3417,TC05000853.hg.1  
3418,TC05000855.hg.1  
3419,TC05000856.hg.1  
3420,TC05000857.hg.1  
3421,TC05000863.hg.1  
3422,TC05000866.hg.1  
3423,TC05000872.hg.1  
3424,TC05000873.hg.1  
3425,TC05000881.hg.1  
3426,TC05000882.hg.1  
3427,TC05000891.hg.1  
3428,TC05000896.hg.1  
3429,TC05000906.hg.1  
3430,TC05000907.hg.1  
3431,TC05000917.hg.1  
3432,TC05000922.hg.1  
3433,TC05000928.hg.1  
3434,TC05000931.hg.1  
3435,TC05000942.hg.1  
3436,TC05000943.hg.1  
3437,TC05000952.hg.1  
3438,TC05000953.hg.1  
3439,TC05000954.hg.1  
3440,TC05000955.hg.1  
3441,TC05000959.hg.1  
3442,TC05000962.hg.1  
3443,TC05000963.hg.1  
3444,TC05000964.hg.1  
3445,TC05000967.hg.1  
3446,TC05000973.hg.1  
3447,TC05000979.hg.1  
3448,TC05000994.hg.1  
3449,TC05000999.hg.1  
3450,TC05001000.hg.1  
3451,TC05001003.hg.1  
3452,TC05001009.hg.1  
3453,TC05001010.hg.1  
3454,TC05001016.hg.1  
3455,TC05001024.hg.1  
3456,TC05001028.hg.1  
3457,TC05001033.hg.1  
3458,TC05001044.hg.1  
3459,TC05001049.hg.1  
3460,TC05001058.hg.1  
3461,TC05001064.hg.1  
3462,TC05001073.hg.1  
3463,TC05001078.hg.1  
3464,TC05001081.hg.1  
3465,TC05001083.hg.1  
3466,TC05001104.hg.1  
3467,TC05001110.hg.1  
3468,TC05001112.hg.1  
3469,TC05001113.hg.1  
3470,TC05001118.hg.1  
3471,TC05001120.hg.1  
3472,TC05001137.hg.1  
3473,TC05001151.hg.1  
3474,TC05001158.hg.1  
3475,TC05001159.hg.1  
3476,TC05001166.hg.1  
3477,TC05001168.hg.1  
3478,TC05001171.hg.1  
3479,TC05001172.hg.1  
3480,TC05001181.hg.1  
3481,TC05001182.hg.1  
3482,TC05001183.hg.1  
3483,TC05001184.hg.1  
3484,TC05001197.hg.1  
3485,TC05001198.hg.1  
3486,TC05001223.hg.1  
3487,TC05001234.hg.1  
3488,TC05001235.hg.1  
3489,TC05001237.hg.1  
3490,TC05001249.hg.1  
3491,TC05001250.hg.1  
3492,TC05001275.hg.1  
3493,TC05001289.hg.1  
3494,TC05001294.hg.1  
3495,TC05001295.hg.1  
3496,TC05001298.hg.1  
3497,TC05001306.hg.1  
3498,TC05001312.hg.1  
3499,TC05001313.hg.1  
3500,TC05001315.hg.1  
3501,TC05001316.hg.1  
3502,TC05001319.hg.1  
3503,TC05001320.hg.1  
3504,TC05001326.hg.1  
3505,TC05001342.hg.1  
3506,TC05001348.hg.1  
3507,TC05001362.hg.1  
3508,TC05001363.hg.1  
3509,TC05001372.hg.1  
3510,TC05001379.hg.1  
3511,TC05001380.hg.1  
3512,TC05001381.hg.1  
3513,TC05001385.hg.1  
3514,TC05001392.hg.1  
3515,TC05001393.hg.1  
3516,TC05001401.hg.1  
3517,TC05001411.hg.1  
3518,TC05001418.hg.1  
3519,TC05001437.hg.1  
3520,TC05001438.hg.1  
3521,TC05001443.hg.1  
3522,TC05001450.hg.1  
3523,TC05001453.hg.1  
3524,TC05001458.hg.1  
3525,TC05001459.hg.1  
3526,TC05001460.hg.1  
3527,TC05001463.hg.1  
3528,TC05001466.hg.1  
3529,TC05001481.hg.1  
3530,TC05001482.hg.1  
3531,TC05001484.hg.1  
3532,TC05001487.hg.1  
3533,TC05001491.hg.1  
3534,TC05001494.hg.1  
3535,TC05001498.hg.1  
3536,TC05001513.hg.1  
3537,TC05001518.hg.1  
3538,TC05001524.hg.1  
3539,TC05001532.hg.1  
3540,TC05001535.hg.1  
3541,TC05001538.hg.1  
3542,TC05001543.hg.1  
3543,TC05001545.hg.1  
3544,TC05001547.hg.1  
3545,TC05001570.hg.1  
3546,TC05001579.hg.1  
3547,TC05001590.hg.1  
3548,TC05001598.hg.1  
3549,TC05001603.hg.1  
3550,TC05001607.hg.1  
3551,TC05001609.hg.1  
3552,TC05001610.hg.1  
3553,TC05001621.hg.1  
3554,TC05001628.hg.1  
3555,TC05001632.hg.1  
3556,TC05001635.hg.1  
3557,TC05001638.hg.1  
3558,TC05001640.hg.1  
3559,TC05001644.hg.1  
3560,TC05001651.hg.1  
3561,TC05001652.hg.1  
3562,TC05001657.hg.1  
3563,TC05001660.hg.1  
3564,TC05001668.hg.1  
3565,TC05001674.hg.1  
3566,TC05001675.hg.1  
3567,TC05001679.hg.1  
3568,TC05001683.hg.1  
3569,TC05001684.hg.1  
3570,TC05001687.hg.1  
3571,TC05001688.hg.1  
3572,TC05001694.hg.1  
3573,TC05001724.hg.1  
3574,TC05001742.hg.1  
3575,TC05001749.hg.1  
3576,TC05001755.hg.1  
3577,TC05001758.hg.1  
3578,TC05001767.hg.1  
3579,TC05001772.hg.1  
3580,TC05001776.hg.1  
3581,TC05001778.hg.1  
3582,TC05001780.hg.1  
3583,TC05001785.hg.1  
3584,TC05001804.hg.1  
3585,TC05001822.hg.1  
3586,TC05001827.hg.1  
3587,TC05001829.hg.1  
3588,TC05001831.hg.1  
3589,TC05001837.hg.1  
3590,TC05001853.hg.1  
3591,TC05001854.hg.1  
3592,TC05001856.hg.1  
3593,TC05001862.hg.1  
3594,TC05001870.hg.1  
3595,TC05001873.hg.1  
3596,TC05001874.hg.1  
3597,TC05001875.hg.1  
3598,TC05001877.hg.1  
3599,TC05001887.hg.1  
3600,TC05001888.hg.1  
3601,TC05001896.hg.1  
3602,TC05001898.hg.1  
3603,TC05001908.hg.1  
3604,TC05001924.hg.1  
3605,TC05001942.hg.1  
3606,TC05001943.hg.1  
3607,TC05001951.hg.1  
3608,TC05001958.hg.1  
3609,TC05001960.hg.1  
3610,TC05001973.hg.1  
3611,TC05001974.hg.1  
3612,TC05001984.hg.1  
3613,TC05001996.hg.1  
3614,TC05002002.hg.1  
3615,TC05002003.hg.1  
3616,TC05002010.hg.1  
3617,TC05002028.hg.1  
3618,TC05002055.hg.1  
3619,TC05002059.hg.1  
3620,TC05002060.hg.1  
3621,TC05002062.hg.1  
3622,TC05002066.hg.1  
3623,TC05002074.hg.1  
3624,TC05002075.hg.1  
3625,TC05002085.hg.1  
3626,TC05002087.hg.1  
3627,TC05002090.hg.1  
3628,TC05002091.hg.1  
3629,TC05002094.hg.1  
3630,TC05002095.hg.1  
3631,TC05002113.hg.1  
3632,TC05002114.hg.1  
3633,TC05002116.hg.1  
3634,TC05002122.hg.1  
3635,TC05002125.hg.1  
3636,TC05002135.hg.1  
3637,TC05002142.hg.1  
3638,TC05002146.hg.1  
3639,TC05002154.hg.1  
3640,TC05002158.hg.1  
3641,TC05002169.hg.1  
3642,TC05002216.hg.1  
3643,TC05002229.hg.1  
3644,TC05002244.hg.1  
3645,TC05002245.hg.1  
3646,TC05002261.hg.1  
3647,TC05002282.hg.1  
3648,TC05002283.hg.1  
3649,TC05002288.hg.1  
3650,TC05002301.hg.1  
3651,TC05002323.hg.1  
3652,TC05002326.hg.1  
3653,TC05002346.hg.1  
3654,TC05002354.hg.1  
3655,TC05002356.hg.1  
3656,TC05002362.hg.1  
3657,TC05002367.hg.1  
3658,TC05002374.hg.1  
3659,TC05002382.hg.1  
3660,TC05002387.hg.1  
3661,TC05002404.hg.1  
3662,TC05002410.hg.1  
3663,TC05002411.hg.1  
3664,TC05002418.hg.1  
3665,TC05002420.hg.1  
3666,TC05002422.hg.1  
3667,TC05002434.hg.1  
3668,TC05002444.hg.1  
3669,TC05002454.hg.1  
3670,TC05002455.hg.1  
3671,TC05002463.hg.1  
3672,TC05002471.hg.1  
3673,TC05002475.hg.1  
3674,TC05002486.hg.1  
3675,TC05002513.hg.1  
3676,TC05002522.hg.1  
3677,TC05002525.hg.1  
3678,TC05002526.hg.1  
3679,TC05002527.hg.1  
3680,TC05002528.hg.1  
3681,TC05002529.hg.1  
3682,TC05002533.hg.1  
3683,TC05002536.hg.1  
3684,TC05002544.hg.1  
3685,TC05002548.hg.1  
3686,TC05002564.hg.1  
3687,TC05002568.hg.1  
3688,TC05002573.hg.1  
3689,TC05002574.hg.1  
3690,TC05002575.hg.1  
3691,TC05002583.hg.1  
3692,TC05002585.hg.1  
3693,TC05002614.hg.1  
3694,TC05002617.hg.1  
3695,TC05002633.hg.1  
3696,TC05002637.hg.1  
3697,TC05002653.hg.1  
3698,TC05002662.hg.1  
3699,TC05002663.hg.1  
3700,TC05002667.hg.1  
3701,TC05002689.hg.1  
3702,TC05002693.hg.1  
3703,TC05002695.hg.1  
3704,TC05002701.hg.1  
3705,TC05002703.hg.1  
3706,TC05002708.hg.1  
3707,TC05002714.hg.1  
3708,TC05002730.hg.1  
3709,TC05002737.hg.1  
3710,TC05002740.hg.1  
3711,TC05002743.hg.1  
3712,TC05002745.hg.1  
3713,TC05002746.hg.1  
3714,TC05002752.hg.1  
3715,TC05002760.hg.1  
3716,TC05002766.hg.1  
3717,TC05002767.hg.1  
3718,TC05002768.hg.1  
3719,TC05002769.hg.1  
3720,TC05002774.hg.1  
3721,TC05002778.hg.1  
3722,TC05002779.hg.1  
3723,TC05002788.hg.1  
3724,TC05002794.hg.1  
3725,TC05002801.hg.1  
3726,TC05002815.hg.1  
3727,TC05002816.hg.1  
3728,TC05002821.hg.1  
3729,TC05002853.hg.1  
3730,TC05002872.hg.1  
3731,TC05002885.hg.1  
3732,TC05002893.hg.1  
3733,TC05002894.hg.1  
3734,TC05002899.hg.1  
3735,TC05002908.hg.1  
3736,TC05002923.hg.1  
3737,TC05002949.hg.1  
3738,TC05002961.hg.1  
3739,TC05002967.hg.1  
3740,TC05002968.hg.1  
3741,TC05002969.hg.1  
3742,TC05002971.hg.1  
3743,TC05002975.hg.1  
3744,TC05002980.hg.1  
3745,TC05002988.hg.1  
3746,TC05003005.hg.1  
3747,TC05003008.hg.1  
3748,TC05003014.hg.1  
3749,TC05003029.hg.1  
3750,TC05003048.hg.1  
3751,TC05003050.hg.1  
3752,TC05003054.hg.1  
3753,TC05003056.hg.1  
3754,TC05003057.hg.1  
3755,TC05003058.hg.1  
3756,TC05003060.hg.1  
3757,TC05003062.hg.1  
3758,TC05003063.hg.1  
3759,TC05003064.hg.1  
3760,TC05003082.hg.1  
3761,TC05003088.hg.1  
3762,TC05003089.hg.1  
3763,TC05003091.hg.1  
3764,TC05003110.hg.1  
3765,TC05003112.hg.1  
3766,TC05003117.hg.1  
3767,TC05003118.hg.1  
3768,TC05003127.hg.1  
3769,TC05003149.hg.1  
3770,TC05003160.hg.1  
3771,TC05003162.hg.1  
3772,TC05003177.hg.1  
3773,TC05003182.hg.1  
3774,TC05003192.hg.1  
3775,TC05003215.hg.1  
3776,TC05003219.hg.1  
3777,TC05003220.hg.1  
3778,TC05003234.hg.1  
3779,TC05003240.hg.1  
3780,TC05003242.hg.1  
3781,TC05003258.hg.1  
3782,TC05003271.hg.1  
3783,TC05003272.hg.1  
3784,TC05003275.hg.1  
3785,TC05003276.hg.1  
3786,TC05003298.hg.1  
3787,TC05003314.hg.1  
3788,TC05003330.hg.1  
3789,TC05003350.hg.1  
3790,TC05003356.hg.1  
3791,TC05003357.hg.1  
3792,TC05003358.hg.1  
3793,TC05003364.hg.1  
3794,TC05003366.hg.1  
3795,TC05003368.hg.1  
3796,TC05003369.hg.1  
3797,TC05003371.hg.1  
3798,TC05003381.hg.1  
3799,TC05003402.hg.1  
3800,TC05003403.hg.1  
3801,TC05003405.hg.1  
3802,TC05003406.hg.1  
3803,TC05003412.hg.1  
3804,TC05003416.hg.1  
3805,TC05003422.hg.1  
3806,TC05003423.hg.1  
3807,TC05003427.hg.1  
3808,TC05003430.hg.1  
3809,TC05003436.hg.1  
3810,TC05003444.hg.1  
3811,TC05003445.hg.1  
3812,TC05003446.hg.1  
3813,TC05003447.hg.1  
3814,TC05003449.hg.1  
3815,TC05003450.hg.1  
3816,TC05003452.hg.1  
3817,TC05003453.hg.1  
3818,TC06000012.hg.1  
3819,TC06000023.hg.1  
3820,TC06000025.hg.1  
3821,TC06000026.hg.1  
3822,TC06000044.hg.1  
3823,TC06000048.hg.1  
3824,TC06000056.hg.1  
3825,TC06000060.hg.1  
3826,TC06000062.hg.1  
3827,TC06000063.hg.1  
3828,TC06000069.hg.1  
3829,TC06000071.hg.1  
3830,TC06000073.hg.1  
3831,TC06000074.hg.1  
3832,TC06000078.hg.1  
3833,TC06000083.hg.1  
3834,TC06000087.hg.1  
3835,TC06000090.hg.1  
3836,TC06000094.hg.1  
3837,TC06000099.hg.1  
3838,TC06000104.hg.1  
3839,TC06000105.hg.1  
3840,TC06000108.hg.1  
3841,TC06000111.hg.1  
3842,TC06000113.hg.1  
3843,TC06000117.hg.1  
3844,TC06000120.hg.1  
3845,TC06000123.hg.1  
3846,TC06000126.hg.1  
3847,TC06000128.hg.1  
3848,TC06000135.hg.1  
3849,TC06000146.hg.1  
3850,TC06000153.hg.1  
3851,TC06000162.hg.1  
3852,TC06000163.hg.1  
3853,TC06000164.hg.1  
3854,TC06000165.hg.1  
3855,TC06000167.hg.1  
3856,TC06000168.hg.1  
3857,TC06000174.hg.1  
3858,TC06000179.hg.1  
3859,TC06000180.hg.1  
3860,TC06000181.hg.1  
3861,TC06000182.hg.1  
3862,TC06000183.hg.1  
3863,TC06000189.hg.1  
3864,TC06000191.hg.1  
3865,TC06000192.hg.1  
3866,TC06000193.hg.1  
3867,TC06000196.hg.1  
3868,TC06000197.hg.1  
3869,TC06000198.hg.1  
3870,TC06000202.hg.1  
3871,TC06000203.hg.1  
3872,TC06000204.hg.1  
3873,TC06000207.hg.1  
3874,TC06000208.hg.1  
3875,TC06000210.hg.1  
3876,TC06000212.hg.1  
3877,TC06000217.hg.1  
3878,TC06000218.hg.1  
3879,TC06000222.hg.1  
3880,TC06000224.hg.1  
3881,TC06000226.hg.1  
3882,TC06000228.hg.1  
3883,TC06000229.hg.1  
3884,TC06000231.hg.1  
3885,TC06000233.hg.1  
3886,TC06000234.hg.1  
3887,TC06000237.hg.1  
3888,TC06000238.hg.1  
3889,TC06000239.hg.1  
3890,TC06000243.hg.1  
3891,TC06000245.hg.1  
3892,TC06000246.hg.1  
3893,TC06000248.hg.1  
3894,TC06000249.hg.1  
3895,TC06000250.hg.1  
3896,TC06000252.hg.1  
3897,TC06000259.hg.1  
3898,TC06000260.hg.1  
3899,TC06000261.hg.1  
3900,TC06000263.hg.1  
3901,TC06000265.hg.1  
3902,TC06000268.hg.1  
3903,TC06000273.hg.1  
3904,TC06000274.hg.1  
3905,TC06000275.hg.1  
3906,TC06000278.hg.1  
3907,TC06000279.hg.1  
3908,TC06000289.hg.1  
3909,TC06000290.hg.1  
3910,TC06000291.hg.1  
3911,TC06000292.hg.1  
3912,TC06000293.hg.1  
3913,TC06000294.hg.1  
3914,TC06000301.hg.1  
3915,TC06000304.hg.1  
3916,TC06000305.hg.1  
3917,TC06000306.hg.1  
3918,TC06000307.hg.1  
3919,TC06000319.hg.1  
3920,TC06000325.hg.1  
3921,TC06000344.hg.1  
3922,TC06000347.hg.1  
3923,TC06000357.hg.1  
3924,TC06000366.hg.1  
3925,TC06000382.hg.1  
3926,TC06000383.hg.1  
3927,TC06000384.hg.1  
3928,TC06000385.hg.1  
3929,TC06000386.hg.1  
3930,TC06000389.hg.1  
3931,TC06000394.hg.1  
3932,TC06000395.hg.1  
3933,TC06000399.hg.1  
3934,TC06000403.hg.1  
3935,TC06000406.hg.1  
3936,TC06000414.hg.1  
3937,TC06000417.hg.1  
3938,TC06000419.hg.1  
3939,TC06000420.hg.1  
3940,TC06000423.hg.1  
3941,TC06000424.hg.1  
3942,TC06000448.hg.1  
3943,TC06000470.hg.1  
3944,TC06000473.hg.1  
3945,TC06000486.hg.1  
3946,TC06000494.hg.1  
3947,TC06000501.hg.1  
3948,TC06000502.hg.1  
3949,TC06000504.hg.1  
3950,TC06000511.hg.1  
3951,TC06000514.hg.1  
3952,TC06000521.hg.1  
3953,TC06000530.hg.1  
3954,TC06000540.hg.1  
3955,TC06000542.hg.1  
3956,TC06000549.hg.1  
3957,TC06000550.hg.1  
3958,TC06000571.hg.1  
3959,TC06000579.hg.1  
3960,TC06000581.hg.1  
3961,TC06000586.hg.1  
3962,TC06000588.hg.1  
3963,TC06000590.hg.1  
3964,TC06000592.hg.1  
3965,TC06000594.hg.1  
3966,TC06000595.hg.1  
3967,TC06000596.hg.1  
3968,TC06000597.hg.1  
3969,TC06000605.hg.1  
3970,TC06000608.hg.1  
3971,TC06000612.hg.1  
3972,TC06000614.hg.1  
3973,TC06000615.hg.1  
3974,TC06000617.hg.1  
3975,TC06000621.hg.1  
3976,TC06000636.hg.1  
3977,TC06000642.hg.1  
3978,TC06000651.hg.1  
3979,TC06000655.hg.1  
3980,TC06000657.hg.1  
3981,TC06000658.hg.1  
3982,TC06000662.hg.1  
3983,TC06000685.hg.1  
3984,TC06000690.hg.1  
3985,TC06000691.hg.1  
3986,TC06000697.hg.1  
3987,TC06000702.hg.1  
3988,TC06000711.hg.1  
3989,TC06000737.hg.1  
3990,TC06000754.hg.1  
3991,TC06000758.hg.1  
3992,TC06000761.hg.1  
3993,TC06000766.hg.1  
3994,TC06000772.hg.1  
3995,TC06000778.hg.1  
3996,TC06000779.hg.1  
3997,TC06000784.hg.1  
3998,TC06000795.hg.1  
3999,TC06000796.hg.1  
4000,TC06000797.hg.1  
4001,TC06000801.hg.1  
4002,TC06000818.hg.1  
4003,TC06000819.hg.1  
4004,TC06000844.hg.1  
4005,TC06000851.hg.1  
4006,TC06000856.hg.1  
4007,TC06000863.hg.1  
4008,TC06000868.hg.1  
4009,TC06000873.hg.1  
4010,TC06000875.hg.1  
4011,TC06000876.hg.1  
4012,TC06000879.hg.1  
4013,TC06000886.hg.1  
4014,TC06000889.hg.1  
4015,TC06000890.hg.1  
4016,TC06000909.hg.1  
4017,TC06000919.hg.1  
4018,TC06000931.hg.1  
4019,TC06000937.hg.1  
4020,TC06000946.hg.1  
4021,TC06000947.hg.1  
4022,TC06000958.hg.1  
4023,TC06000960.hg.1  
4024,TC06000961.hg.1  
4025,TC06000969.hg.1  
4026,TC06000985.hg.1  
4027,TC06000992.hg.1  
4028,TC06000997.hg.1  
4029,TC06001002.hg.1  
4030,TC06001010.hg.1  
4031,TC06001014.hg.1  
4032,TC06001027.hg.1  
4033,TC06001030.hg.1  
4034,TC06001032.hg.1  
4035,TC06001035.hg.1  
4036,TC06001050.hg.1  
4037,TC06001052.hg.1  
4038,TC06001057.hg.1  
4039,TC06001058.hg.1  
4040,TC06001059.hg.1  
4041,TC06001065.hg.1  
4042,TC06001066.hg.1  
4043,TC06001071.hg.1  
4044,TC06001072.hg.1  
4045,TC06001074.hg.1  
4046,TC06001077.hg.1  
4047,TC06001084.hg.1  
4048,TC06001085.hg.1  
4049,TC06001088.hg.1  
4050,TC06001100.hg.1  
4051,TC06001103.hg.1  
4052,TC06001104.hg.1  
4053,TC06001123.hg.1  
4054,TC06001124.hg.1  
4055,TC06001129.hg.1  
4056,TC06001132.hg.1  
4057,TC06001133.hg.1  
4058,TC06001135.hg.1  
4059,TC06001146.hg.1  
4060,TC06001147.hg.1  
4061,TC06001148.hg.1  
4062,TC06001149.hg.1  
4063,TC06001152.hg.1  
4064,TC06001153.hg.1  
4065,TC06001184.hg.1  
4066,TC06001189.hg.1  
4067,TC06001199.hg.1  
4068,TC06001204.hg.1  
4069,TC06001205.hg.1  
4070,TC06001208.hg.1  
4071,TC06001213.hg.1  
4072,TC06001217.hg.1  
4073,TC06001221.hg.1  
4074,TC06001222.hg.1  
4075,TC06001224.hg.1  
4076,TC06001231.hg.1  
4077,TC06001232.hg.1  
4078,TC06001235.hg.1  
4079,TC06001238.hg.1  
4080,TC06001242.hg.1  
4081,TC06001260.hg.1  
4082,TC06001271.hg.1  
4083,TC06001273.hg.1  
4084,TC06001279.hg.1  
4085,TC06001280.hg.1  
4086,TC06001281.hg.1  
4087,TC06001293.hg.1  
4088,TC06001295.hg.1  
4089,TC06001313.hg.1  
4090,TC06001324.hg.1  
4091,TC06001325.hg.1  
4092,TC06001326.hg.1  
4093,TC06001327.hg.1  
4094,TC06001328.hg.1  
4095,TC06001331.hg.1  
4096,TC06001332.hg.1  
4097,TC06001345.hg.1  
4098,TC06001347.hg.1  
4099,TC06001354.hg.1  
4100,TC06001355.hg.1  
4101,TC06001356.hg.1  
4102,TC06001357.hg.1  
4103,TC06001358.hg.1  
4104,TC06001359.hg.1  
4105,TC06001360.hg.1  
4106,TC06001361.hg.1  
4107,TC06001362.hg.1  
4108,TC06001363.hg.1  
4109,TC06001368.hg.1  
4110,TC06001369.hg.1  
4111,TC06001375.hg.1  
4112,TC06001377.hg.1  
4113,TC06001378.hg.1  
4114,TC06001379.hg.1  
4115,TC06001383.hg.1  
4116,TC06001384.hg.1  
4117,TC06001389.hg.1  
4118,TC06001390.hg.1  
4119,TC06001391.hg.1  
4120,TC06001392.hg.1  
4121,TC06001393.hg.1  
4122,TC06001394.hg.1  
4123,TC06001398.hg.1  
4124,TC06001399.hg.1  
4125,TC06001402.hg.1  
4126,TC06001403.hg.1  
4127,TC06001404.hg.1  
